nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Dywidenda wypłacona akcjonariuszom,Dywidenda,dividend,,,
Dywidenda zapłacona,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
Dywidendy,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
Dywidendy i inne opłaty na rzecz właściciela,Dywidenda,dividend,,,
Dywidendy i inne wpłaty na rzecz właścicieli,Dywidenda,dividend,,,
Dywidendy i inne wpłaty na rzecz właścicieli mniejszościowych,Dywidenda,dividend,,,
Dywidendy i inne wypłaty dla właścicieli,Dywidenda,dividend,,,
Dywidendy i inne wypłaty na rzecz włascicieli,Dywidenda,dividend,,,
Dywidendy i inne wypłaty na rzecz właścicieli,Dywidenda,dividend,,,
Dywidendy i wypłaty z zysku,Dywidenda,dividend,,,
Dywidendy na rzecz właścicieli,Dywidenda,dividend,,,
Dywidendy na rzecz właścicieli jednostki dominującej,Dywidenda,dividend,,,
Dywidendy na rzecz Zysk netto akcjonariuszy jednostki dominującej,Dywidenda,dividend,,,
Dywidendy wypłacone akcjonariuszom,Dywidenda,dividend,,,
Dywidendy wypłacone akcjonariuszom jednostki dominującej,Dywidenda,dividend,,,
Dywidendy wypłacone Akcjonariuszom Jednostki Dominującej,Dywidenda,dividend,,,
Dywidendy wypłacone akcjonariuszom Spółki,Dywidenda,dividend,,,
Dywidendy wypłacone akcjonariuszom Spółki Dominującej,Dywidenda,dividend,,,
Dywidendy wypłacone akcjonariuszom/udziałowcom posiadającym udziały niedające kontroli,Dywidenda,dividend,,,
Dywidendy wypłacone na rzecz właścicieli,Dywidenda,dividend,,,
Dywidendy wypłacone na rzecz:,Dywidenda,dividend,,,
Dywidendy wypłacone przez Jednostkę Dominującą,Dywidenda,dividend,,,
"Dywidendy wypłacone, w tym przypadające na:",Dywidenda,dividend,,,
Płatności dywidend i innych wypłat na rzecz właścicieli,Dywidenda,dividend,,,
Wydatki z tytułu podziału zysku (dywidenda),Dywidenda,dividend,,,
Wydatki z tytułu wypłaconej dywidendy,Dywidenda,dividend,,,
Wypłacone dywidendy,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
Wypłacone dywidendy i inne wypłaty na rzecz właścicieliZysk po opodatkowaniu,Dywidenda,dividend,,,
Wypłacone dywidendy i zaliczki na poczet dywidendy,Dywidenda,dividend,,,
"Wypłacone dywidendy, zaliczone do działalności finansowej",Dywidenda,dividend,,,
Wypłata dywidend,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
Wypłata dywidendy,Dywidenda,dividend,nazwa generyczna - moze pasowac do wielu pozycji,,
Wypłata dywidendy dla udziałowców niekontrolujących,Dywidenda,dividend,,,
Wypłata dywidendy przez Budimex SA,Dywidenda,dividend,,,
Wypłaty na rzecz właścicieli,Dywidenda,dividend,,,
(Strata) na działalności operacyjnej,EBIT,ebit,nazwa mowi o STRACIE - sprawdz znak,,
(STRATA) OPERACYJNA,EBIT,ebit,nazwa generyczna - moze pasowac do wielu pozycji; nazwa mowi o STRACIE - sprawdz znak,,
(Strata)/Zysk na działalności operacyjnej,EBIT,ebit,nazwa mowi o STRACIE - sprawdz znak,,
7I Zysk (strata) z działalności operacyjnej,EBIT,ebit,,,
A Zysk operacyjny (EBIT),EBIT,ebit,,,
D Wynik operacyjny,EBIT,ebit,,,
EBIT (C+D-E),EBIT,ebit,,,
EBIT za okres,EBIT,ebit,,,
F Zysk (strata) na działalności operacyjnej (C+D-E),EBIT,ebit,,,
F Zysk / strata z działalności operacyjnej,EBIT,ebit,,,
F Zysk/Strata na działalności operacyjnej (C+D-E),EBIT,ebit,,,
H Zysk / (strata) z działalności operacyjnej (C+D-E-F-G),EBIT,ebit,,,
H Zysk / (strata) z działalności operacyjnej (C-D-E-F-G),EBIT,ebit,,,
I Zysk (strata) z działalności operacyjnej (F+G-H),EBIT,ebit,,,
I Zysk/Strata na działaln operacyjnej (C+D-E),EBIT,ebit,,,
II Zysk (strata) z działalności operacyjnej,EBIT,ebit,,,
IV Zysk (strata) z działalności operacyjnej,EBIT,ebit,,,
operacyjnej (I±II),EBIT,ebit,,,
Strata na działalności operacyjnej,EBIT,ebit,nazwa mowi o STRACIE - sprawdz znak,,
Wynik na działalności operacyjnej,EBIT,ebit,,,
Wynik operacyjny,EBIT,ebit,nazwa generyczna - moze pasowac do wielu pozycji,,
Wynik z działalności operacyjnej,EBIT,ebit,,,
Wynik z działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk ( strata ) z działalności operacyjnej ( C + D - E ),EBIT,ebit,,,
ZYSK (-STRATA) NA DZIAŁALNOŚCI OPERACYJNEJ,EBIT,ebit,,,
Zysk (strata) na działalności operacyjnej,EBIT,ebit,,,
Zysk (strata) na działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk (strata) operacyjna,EBIT,ebit,,,
Zysk (strata) operacyjna,EBIT,ebit,,,
Zysk (strata) operacyjny,EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (C + D - E),EBIT,ebit,,,
ZYSK (STRATA) Z DZIAŁALNOŚCI OPERACYJNEJ (C+D+E),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (C+D–E),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (EBIT),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (F + G - H),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (F+G-H),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (F+G–H),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (III+IV–V),EBIT,ebit,,,
Zysk (strata) z działalności operacyjnej (VI+VII-VIII),EBIT,ebit,,,
Zysk / (strata) na działalności operacyjnej (EBIT),EBIT,ebit,,,
Zysk / Strata na działalności operacyjnej,EBIT,ebit,,,
Zysk / strata na działalności operacyjnej (EBIT),EBIT,ebit,,,
Zysk / strata z działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk operacyjny,EBIT,ebit,nazwa generyczna - moze pasowac do wielu pozycji,,
Zysk z działalności operacyjnej (EBIT),EBIT,ebit,,,
Zysk z działalności operacyjnej/EBIT,EBIT,ebit,,,
Zysk/ (strata) na działalności operacyjnej,EBIT,ebit,,,
Zysk/(strata) na działalności operacyjnej,EBIT,ebit,,,
Zysk/(strata) operacyjna,EBIT,ebit,,,
Zysk/(Strata) z działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk/Strata brutto na działalności operacyjnej (F+G-H),EBIT,ebit,,,
Zysk/strata na działalności operacyjnej,EBIT,ebit,,,
Zysk/Strata na działalności operacyjnej (C+D-E),EBIT,ebit,,,
Zysk/strata operacyjna,EBIT,ebit,,,
Zysk/Strata z działalności operacyjnej (C+D-E),EBIT,ebit,,,
Koszty prowizji,Koszty prowizyjne,fee_costs?,nazwa generyczna - moze pasowac do wielu pozycji; etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Koszty z tytułu opłat i prowizji,Koszty prowizyjne,fee_costs?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Koszty z tytułu prowizji i opłat,Koszty prowizyjne,fee_costs?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu opłat i prowizji,Przychody prowizyjne,fee_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu prowizji,Przychody prowizyjne,fee_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu prowizji i opłat,Przychody prowizyjne,fee_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Wynik z tytułu opłat i prowizji,Wynik z tytułu prowizji,fee_result?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Wynik z tytułu prowizji i opłat,Wynik z tytułu prowizji,fee_result?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
E Koszty finansowe,Koszty finansowe,finance_costs,,,
H Koszty finansowe (I+II+III+IV),Koszty finansowe,finance_costs,,,
J Koszty finansowe,Koszty finansowe,finance_costs,,,
K Koszty finansowe,Koszty finansowe,finance_costs,,,
Koszty finansowe (I+II+III+IV),Koszty finansowe,finance_costs,,,
D Przychody finansowe,Przychody finansowe,finance_income,,,
G Przychody finansowe (I+II+III+IV+V),Przychody finansowe,finance_income,,,
I Przychody finansowe,Przychody finansowe,finance_income,,,
J Przychody finansowe,Przychody finansowe,finance_income,,,
Przychody finansowe (I+II+III+IV+V),Przychody finansowe,finance_income,,,
+Przepływy pieniężne netto z działalności finansowej (I-II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
C Przepływy pieniężne z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
"C,III +Przepływy pieniężne netto z działalności finansowej (I-II)",Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
III Przepływy pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
III.Przepływy pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
IX Przepływy pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływ pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pienięzne z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pienięzne z działalności finansowej (I-II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (działalność kontynuowana),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I - II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I -II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I+/- II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I+II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I-II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (I–II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej (l+ll),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działalności finansowej RAZEM,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne netto z działaności finansowej (I-II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy pieniężne z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy wykorzystane w działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy środków pieniężnych netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy środków pieniężnych z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy środków pieniężnych z działalności finansowej (I+II),Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
PRZEPŁYWY ŚRODKÓW PIENIĘŻNYCH Z DZIAŁALNOŚCI FINANSOWEJ RAZEM,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Przepływy środków z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Razem przepływy pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Razem przepływy pieniężne z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Razem przepływy pieniężne z działalności finansowej:,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne i inne aktywa pieniężne netto z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
ŚRODKI PIENIĘŻNE NETTO (WYKORZYSTANE W) DZIAŁALNOŚCI FINANSOWEJ,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne netto (wykorzystane) w działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne netto wykorzystane w działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne netto z działalności finansowej wygenerowane na działalności kontynuowanej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
ŚRODKI PIENIĘŻNE NETTO Z W DZIAŁALNOŚCI FINANSOWEJ,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne z działalności finansowej,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
Środki pieniężne z działalności finansowej netto,Przepływy pienięzne z działalności finansowej,financing_cashflow,,,
2 Wartośd firmy,Wartość firmy,goodwill,,,
2 Wartość firmy,Wartość firmy,goodwill,,,
"2,Wartośćfirmy",Wartość firmy,goodwill,nazwa generyczna - moze pasowac do wielu pozycji,,
3 Wartość firmy,Wartość firmy,goodwill,,,
"[A] A,I,2 Wartość firmy",Wartość firmy,goodwill,,,
A I 2 wartość firmy,Wartość firmy,goodwill,,,
"A,I,2 +Wartość firmy",Wartość firmy,goodwill,,,
"A,I,2 Wartość firmy",Wartość firmy,goodwill,,,
II Wartość firmy,Wartość firmy,goodwill,,,
Wartość firmy jednostek podporządkowanych,Wartość firmy,goodwill,,,
C Zysk / strata ze sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
F Zysk (strata) ze sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
F Zysk (strata) ze sprzedaży (C-D-E),Zysk (strata) ze sprzedaży,gross_profit,,,
Wynik ze sprzedaży (A-B),Zysk (strata) ze sprzedaży,gross_profit,,,
ZYSK (-STRATA) ZE SPRZEDAŻY,Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) na sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) na sprzedaży (A-B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) na sprzedaży (C - D - E),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) na sprzedaży (III-IV-V),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (A - B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (A -B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (A-B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (A–B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (III-IV-V),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk (strata) ze sprzedaży (I–II),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk / Strata ze sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk / strata ze sprzedaży (A-B),Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk ze sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk/Strata ze sprzedaży,Zysk (strata) ze sprzedaży,gross_profit,,,
Zysk/Strata ze sprzedaży (A-B),Zysk (strata) ze sprzedaży,gross_profit,,,
ZYSK/STRATA ZE SPRZEDAŻY (C-D-E),Zysk (strata) ze sprzedaży,gross_profit,,,
Koszty odsetek i koszty o podobnym charakterze,Koszty odsetkowe,interest_costs?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody odsetkowe oraz o charakterze zbliżonym do odsetek,Przychody odsetkowe,interest_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
"Przychody z tytułu odsetek i o podobnym charakterze, w tym:",Przychody odsetkowe,interest_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu odsetek i przychody o charakterze zbliżonym do odsetek,Przychody odsetkowe,interest_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu odsetek i przychody o podobnym charakterze:,Przychody odsetkowe,interest_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
Przychody z tytułu odsetek obliczone przy zastosowaniu metody efektywnej stopy procentowej,Przychody odsetkowe,interest_income?,etykieta poza naszymi 77 kluczami (bank/ubezpieczenia?),,
1 Zapasy,Zapasy,inventory,nazwa generyczna - moze pasowac do wielu pozycji,,
"1,Zapasy",Zapasy,inventory,nazwa generyczna - moze pasowac do wielu pozycji,,
"1,Zapasy",Zapasy,inventory,nazwa generyczna - moze pasowac do wielu pozycji,,
B I Zapasy,Zapasy,inventory,,,
"B,I +Zapasy",Zapasy,inventory,,,
I Zapasy (1+2+3+4+5),Zapasy,inventory,,,
"Nota 7,1 Zapasy",Zapasy,inventory,,,
+Przepływy pieniężne netto z działalności inwestycyjnej (I-II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
B Przepływy pieniężne z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
"B,III +Przepływy pieniężne netto z działalności inwestycyjnej (I-II)",Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
"B,Przepływy środków pieniężnych z działalności inwestycyjnej (I+II)",Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
III Przepływy pieniężne netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
"III Przepływy pieniężne netto z działalności inwestycyjnej, razem",Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
III.Przepływy pieniężne netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływ pieniężne netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pienięzne z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pienięzne z działalności inwestycyjnej (I-II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (działalność kontynuowana),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I - II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I -II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I+/- II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I+II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I-II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej (I–II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej RAZEM,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne netto z działalności inwestycyjnej(I - II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne wykorzystane w działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy pieniężne z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy z dział inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy środków pieniężnych netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy środków pieniężnych netto z działalności inwestycyjnej (I - II),Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy środków pieniężnych z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
PRZEPŁYWY ŚRODKÓW PIENIĘŻNYCH Z DZIAŁALNOŚCI INWESTYCYJNEJ RAZEM,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przepływy środków z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Przychody z inwestycji,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Razem przepływy pieniężne z działalności inwestycyjnej:,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
VIII Przepływy pieniężne netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Środki pieniężne i inne aktywa pieniężne netto z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
ŚRODKI PIENIĘŻNE NETTO (WYKORZYSTANE W) DZIAŁALNOŚCI INWESTYCYJNEJ,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
ŚRODKI PIENIĘŻNE NETTO WYDANE W ZWIĄZKU Z DZIAŁALNOŚCIĄ INWESTYCYJNĄ,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Środki pieniężne netto wykorzystane w działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Środki pieniężne z działalności inwestycyjnej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Środki pieniężne z działalności inwestycyjnej netto,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
Środki pieniężne z działalności inwestycyjnej wygenerowane na działalności kontynuowanej,Przepływy pienięzne z działalności inwestycyjnej,investing_cashflow,,,
"2,Płatności zobowiązań z tytułu umów leasingu",Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
3 Spłata zobowiązań z tytułu umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
7 Płatności zobowiązań z tytułu umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
"7,Płatności zobowiązań z tytułu umów leasingu finansowego",Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
"C,II,7 +Płatności zobowiązań z tytułu umów leasingu finansowego",Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Leasing,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,nazwa generyczna - moze pasowac do wielu pozycji,,
Leasing MSSF 16,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Opłacenie zobowiązań z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Opłaty leasingowe,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,nazwa generyczna - moze pasowac do wielu pozycji,,
płatności leasingowe,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,nazwa generyczna - moze pasowac do wielu pozycji,,
Płatności z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności z tytułu leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności z tytułu umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności z umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności z umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności zobowiązań z tytułu leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności zobowiązań z tytułu pozostałych umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności zobowiązań z tytułu umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatności zobowiązań z umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatność zobowiązań z tytułu umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Płatność zobowiązań z tytułu umów leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata części kapitałowej zobowiązań z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata głównej części zobowiązań z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązania z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązań finansowych z tytułu leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązań leasingowych,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązań z tytułu leasingu (-)Zysk netto za okres obrotowy,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązań z tytułu leasingu finansowego i kredytów bankowych,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłata zobowiązań z tytułu umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłaty leasingów,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,nazwa generyczna - moze pasowac do wielu pozycji,,
spłaty zobowiązań dotyczących leasingu finansowego,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Spłaty zobowiązań z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
umów leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,nazwa generyczna - moze pasowac do wielu pozycji,,
Wydatki finansowe z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Wydatki z tytułu spłaty zobowiązań dotyczących leasingu finansowegoZysk (Strata) z działalności operacyjnej (III+VI+IX+XII+XIII-XIV+XV),Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Zapłacone odsetki od leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Zapłacone odsetki z tytułu leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
"Zapłacone zobowiązania z tytułu leasingu, zaliczone do działalności finansowej",Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
Zapłata rat leasingu,Spłata zobowiązań z tytułu leasingu,lease_liab_payments,,,
"Bilansowa zmiana stanu środków pieniężnych, w tym:",Przepływy pieniężne razem,net_cashflow,,,
D Przepływy pieniężne netto razem,Przepływy pieniężne razem,net_cashflow,,,
"D Przepływy pieniężne netto, razem",Przepływy pieniężne razem,net_cashflow,,,
D Przepływy pieniężne razem (przed różnicami kursowymi),Przepływy pieniężne razem,net_cashflow,,,
Przepływy pieniężne netto ogółem,Przepływy pieniężne razem,net_cashflow,,,
Przepływy pieniężne netto razem (A ± B ± C),Przepływy pieniężne razem,net_cashflow,,,
"PRZEPŁYWY PIENIĘŻNE NETTO RAZEM (A,+B,+C,)",Przepływy pieniężne razem,net_cashflow,,,
"PRZEPŁYWY PIENIĘŻNE NETTO RAZEM (A,III + B,III + C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (A,III +/- B,III +/- C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (A,III+/- B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"PRZEPŁYWY PIENIĘŻNE NETTO RAZEM (A,III+/-B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (A,III+/-BIII+/-CIII)",Przepływy pieniężne razem,net_cashflow,,,
"Przepływy pieniężne netto razem (A,III+/–B,III+/-C,III)",Przepływy pieniężne razem,net_cashflow,,,
