nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Zysk (strata) brutto (I+J–K),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (I-J),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (IX+X-XI+/-XII),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (I±J),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (J - K + L +/- M),Zysk przed opodatkowaniem,before_tax_profit,,,
ZYSK (STRATA) BRUTTO (J+/-K-L+M+/-N),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (J-K+L),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (J-K+L),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (J-K+L+/-M),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (J–K+L+/-M),Zysk przed opodatkowaniem,before_tax_profit,,,
ZYSK (STRATA) BRUTTO (J–K+L+/–M),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (L+/-M),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto (VI+VII-VIII),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (Strata) brutto (XVI+XVII-XVIII),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) brutto - przed opodatkowaniem,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) netto przed opodatkowaniem,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk (strata) przed podatkiem dochodowym,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk / (strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk / (Strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk / Strata brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk /strata brutto (J+/-K-L+/-M),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk brutto,Zysk przed opodatkowaniem,before_tax_profit,nazwa generyczna - moze pasowac do wielu pozycji,,
Zysk brutto (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk brutto z działalności kontynuowanej,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk brutto za okres,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk przed opodatkowaniem (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk starta brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/ (strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/(strata) brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/(Strata) brutto (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/(strata) brutto z działalności kontynuowanej,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/strata brutto,Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/strata brutto (F+G-H),Zysk przed opodatkowaniem,before_tax_profit,,,
Zysk/strata brutto (H+I-J+K),Zysk przed opodatkowaniem,before_tax_profit,,,
