spolka,nazwa,plik,arkusz,kol_nazwa,kol_wartosci,mnoznik,naglowki_okresow,sekcje,kapital_obrotowy_z_bilansu,uwagi
NEU,Neuca,Neuca za I kwartał 2026 roku_sprawozdania.xlsx,Sprawozdania,1,"2,3",1,I kw 2026 / 31.03.2026|I kw 2025 / 31.12.2025,Income Statement (Rachunek Zyskow i Strat / P&L / Statement of Comprehensive Income)=>RZIS|Cash Flow Statement (Rachunek Przeplywow Pienieznych)=>CF|Przepływy środków pieniężnych z działalności inwestycyjnej=>CF_INW|Przepływy środków pieniężnych z działalności finansowej=>CF_FIN|Balance Sheet (Bilans / Statement of Financial Position)=>BILANS|Aktywa trwałe=>AKT_TRW|$Aktywa trwałe razem=>AKT_TRW|Aktywa obrotowe=>AKT_OBR|$Aktywa obrotowe razem=>AKT_OBR|$Aktywa razem=>AKTYWA|Kapitał własny=>KAPITAL|$Kapitał własny razem=>KAPITAL|Zobowiązania długoterminowe=>ZOB_DL|$Zobowiązania długoterminowe razem=>ZOB_DL|Zobowiązania krótkoterminowe=>ZOB_KR|$Zobowiązania krótkoterminowe razem=>ZOB_KR|$Pasywa razem=>PASYWA,TAK,dane w tys. PLN. Uklad: naglowki otwieraja bloki bilansu
AOL,AOL,788_AO_IQ_2026_2026-05-14_final_sprawozdania.xlsx,Sprawozdania,1,"2,3",0.001,I kw 2026 / 31.03.2026|I kw 2025 / 31.03.2025,Income Statement (Rachunek Zyskow i Strat / P&L / Statement of Comprehensive Income)=>RZIS|Cash Flow Statement (Rachunek Przeplywow Pienieznych)=>CF|A. Przepływy środków pieniężnych z działalności operacyjnej=>CF|III. Przepływy pieniężne netto z działal. operacyjnej (I±II)=>CF|B. Przepływy środków pieniężnych z działal. inwest.=>CF_INW|III. Przepływy pieniężne netto z działalności inwestycyjnej (I-II)=>CF_INW|C. Przepływy środków pieniężnych z działalności finansowej=>CF_FIN|III. Przepływy pieniężne netto z działalności finansowej (I-II)=>CF_FIN|Balance Sheet (Bilans / Statement of Financial Position)=>BILANS|A. Aktywa trwałe=>AKT_TRW|B. Aktywa obrotowe=>AKT_OBR|$Aktywa razem=>AKTYWA|A. Kapitał własny=>KAPITAL|B. Zobowiązania i rezerwy na zobowiązania=>PASYWA|II. Zobowiązania długoterminowe=>ZOB_DL|III. Zobowiązania krótkoterminowe=>ZOB_KR|$Pasywa razem=>PASYWA,NIE,"uklad USTAWY O RACHUNKOWOSCI. Dane w ZLOTYCH -> mnoznik 0.001. UWAGA: kolumna porownawcza to 31.03.2025 (rok wczesniej), wiec kapitalu obrotowego NIE da sie policzyc z bilansu - flaga NIE, uzywane sa pozycje z rachunku przeplywow"
KGH,KGHM,skonsolidowany raport kwartalny KGHM 1_2026_sprawozdania.xlsx,Sprawozdania,1,"2,3",1000,I kw 2026 / 31.03.2026|I kw 2025 / 31.12.2025,Income Statement (Rachunek Zyskow i Strat / P&L / Statement of Comprehensive Income)=>RZIS|Cash Flow Statement (Rachunek Przeplywow Pienieznych)=>CF|Przepływy pieniężne z działalności operacyjnej=>CF|Przepływy pieniężne z działalności inwestycyjnej=>CF_INW|Przepływy pieniężne z działalności finansowej=>CF_FIN|Balance Sheet (Bilans / Statement of Financial Position)=>BILANS|AKTYWA=>AKTYWA|$Aktywa trwałe=>AKT_TRW|$Aktywa obrotowe=>AKT_OBR|$RAZEM AKTYWA=>AKTYWA|ZOBOWIĄZANIA I KAPITAŁ WŁASNY=>PASYWA|$Kapitał własny=>KAPITAL|$Zobowiązania długoterminowe=>ZOB_DL|$Zobowiązania krótkoterminowe=>ZOB_KR|$RAZEM ZOBOWIĄZANIA I KAPITAŁ WŁASNY=>PASYWA,TAK,"dane w mln PLN -> mnoznik 1000. Uklad: sumy ZAMYKAJA bloki bilansu, stad znaczniki $"
